INFO 2025-09-17 02:13:19,818 autoreload 4088 3784 Watching for file changes with StatReloader
INFO 2025-09-17 02:13:29,910 basehttp 4088 10008 "OPTIONS /api/users/me/ HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:29,933 log 4088 10008 Unauthorized: /api/users/me/
WARNING 2025-09-17 02:13:29,934 basehttp 4088 10008 "GET /api/users/me/ HTTP/1.1" 401 275
INFO 2025-09-17 02:13:29,985 basehttp 4088 10008 "OPTIONS /api/seasons/ HTTP/1.1" 200 0
INFO 2025-09-17 02:13:29,987 basehttp 4088 10008 "OPTIONS /api/clubs/?all=1&_ts=1758053609972 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:29,989 basehttp 4088 10008 "OPTIONS /api/seasons/ HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,027 basehttp 4088 10008 "OPTIONS /api/matches/latest/?params%5B_ts%5D=1758053609973 HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:30,032 log 4088 10160 Unauthorized: /api/seasons/
INFO 2025-09-17 02:13:30,033 basehttp 4088 10008 "OPTIONS /api/players/top_scorers/ HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,033 basehttp 4088 10152 "OPTIONS /api/matches/upcoming/?params%5B_ts%5D=1758053609973 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,034 basehttp 4088 10008 "OPTIONS /api/clubs/?all=1&_ts=1758053609975 HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:30,034 basehttp 4088 10160 "GET /api/seasons/ HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,036 log 4088 10152 Unauthorized: /api/seasons/
INFO 2025-09-17 02:13:30,037 basehttp 4088 10204 "OPTIONS /api/partners/?params%5B_ts%5D=1758053609973 HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:30,040 log 4088 10208 Unauthorized: /api/clubs/
INFO 2025-09-17 02:13:30,040 basehttp 4088 10008 "OPTIONS /api/seasons/ HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,040 basehttp 4088 10160 "OPTIONS /api/players/top_scorers/ HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:30,041 log 4088 10204 Unauthorized: /api/matches/latest/
WARNING 2025-09-17 02:13:30,042 basehttp 4088 10152 "GET /api/seasons/ HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,044 log 4088 10008 Unauthorized: /api/players/top_scorers/
WARNING 2025-09-17 02:13:30,046 log 4088 10160 Unauthorized: /api/matches/upcoming/
INFO 2025-09-17 02:13:30,046 basehttp 4088 10212 "OPTIONS /api/seasons/ HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:30,046 basehttp 4088 10208 "GET /api/clubs/?all=1&_ts=1758053609972 HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,047 log 4088 10152 Unauthorized: /api/clubs/
WARNING 2025-09-17 02:13:30,047 basehttp 4088 10204 "GET /api/matches/latest/?params%5B_ts%5D=1758053609973 HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,048 basehttp 4088 10008 "GET /api/players/top_scorers/ HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,049 log 4088 10212 Unauthorized: /api/partners/
WARNING 2025-09-17 02:13:30,049 basehttp 4088 10160 "GET /api/matches/upcoming/?params%5B_ts%5D=1758053609973 HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,050 log 4088 10208 Unauthorized: /api/seasons/
WARNING 2025-09-17 02:13:30,051 basehttp 4088 10152 "GET /api/clubs/?all=1&_ts=1758053609975 HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,051 log 4088 10204 Unauthorized: /api/players/top_scorers/
WARNING 2025-09-17 02:13:30,052 log 4088 10008 Unauthorized: /api/seasons/
WARNING 2025-09-17 02:13:30,053 basehttp 4088 10212 "GET /api/partners/?params%5B_ts%5D=1758053609973 HTTP/1.1" 401 275
INFO 2025-09-17 02:13:30,054 basehttp 4088 10160 "OPTIONS /api/matches/latest/?params%5B_ts%5D=1758053609975 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,054 basehttp 4088 10152 "OPTIONS /api/matches/upcoming/?params%5B_ts%5D=1758053609975 HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:30,054 basehttp 4088 10208 "GET /api/seasons/ HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,056 basehttp 4088 10204 "GET /api/players/top_scorers/ HTTP/1.1" 401 275
WARNING 2025-09-17 02:13:30,056 basehttp 4088 10008 "GET /api/seasons/ HTTP/1.1" 401 275
INFO 2025-09-17 02:13:30,056 basehttp 4088 10160 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,057 basehttp 4088 10212 "OPTIONS /api/partners/?params%5B_ts%5D=1758053609975 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,057 basehttp 4088 10152 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,059 basehttp 4088 10008 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:30,060 log 4088 10160 Unauthorized: /api/matches/upcoming/
INFO 2025-09-17 02:13:30,060 basehttp 4088 10208 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,060 basehttp 4088 10204 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
WARNING 2025-09-17 02:13:30,061 log 4088 10212 Unauthorized: /api/matches/latest/
